iter	Passed	Remaining
0	0	65
1	1	56
2	1	57
3	2	53
4	2	51
5	3	50
6	3	50
7	4	50
8	4	48
9	5	46
10	5	46
11	6	45
12	6	44
13	7	43
14	7	42
15	8	42
16	8	41
17	8	40
18	9	39
19	9	39
20	10	38
21	10	37
22	10	36
23	11	36
24	12	36
25	12	35
26	12	34
27	13	34
28	13	33
29	14	33
30	14	32
31	15	32
32	15	32
33	16	31
34	16	30
35	17	30
36	17	30
37	18	29
38	18	29
39	21	32
40	21	31
41	22	30
42	22	29
43	22	29
44	23	28
45	23	27
46	24	27
47	24	26
48	24	25
49	25	25
50	25	24
51	26	24
52	26	23
53	26	22
54	27	22
55	27	21
56	28	21
57	28	20
58	28	20
59	29	19
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	36	16
69	37	15
70	37	15
71	37	14
72	38	14
73	38	13
74	39	13
75	39	12
76	40	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	42	8
83	43	8
84	43	7
85	44	7
86	44	6
87	45	6
88	45	5
89	46	5
90	46	4
91	47	4
92	47	3
93	47	3
94	48	2
95	49	2
96	49	1
97	50	1
98	51	0
99	51	0
