iter	Passed	Remaining
0	51	51292
1	51	25816
2	52	17339
3	52	13076
4	52	10536
5	53	8839
6	53	7626
7	54	6723
8	54	6014
9	55	5445
10	55	4977
11	55	4589
12	56	4259
13	56	3975
14	56	3732
15	57	3517
16	57	3329
17	57	3162
18	58	3011
19	58	2875
20	59	2752
21	59	2640
22	59	2542
23	60	2452
24	60	2369
25	61	2294
26	61	2224
27	62	2159
28	62	2096
29	62	2035
30	63	1985
31	64	1937
32	64	1891
33	65	1848
34	65	1807
35	66	1767
36	66	1727
37	66	1690
38	67	1655
39	67	1622
40	67	1589
41	68	1557
42	68	1527
43	69	1499
44	69	1471
45	69	1445
46	70	1420
47	70	1397
48	70	1374
49	71	1352
50	71	1331
51	71	1310
52	72	1292
53	72	1273
54	73	1258
55	73	1243
56	74	1229
57	74	1214
58	75	1200
59	75	1186
60	76	1171
61	76	1157
62	76	1144
63	77	1131
64	77	1120
65	78	1109
66	78	1099
67	79	1090
68	80	1081
69	80	1073
70	81	1066
71	82	1057
72	82	1046
73	82	1037
74	83	1029
75	84	1024
76	84	1015
77	85	1006
78	85	997
79	85	988
80	86	979
81	86	971
82	87	962
83	87	954
84	87	946
85	88	940
86	89	934
87	89	929
88	90	922
89	90	915
90	91	909
91	91	903
92	92	897
93	94	906
94	94	902
95	95	897
96	95	892
97	96	887
98	96	882
99	97	878
100	98	872
101	98	866
102	98	860
103	99	856
104	99	852
105	100	848
106	101	844
107	101	840
108	102	835
109	102	831
110	103	829
111	104	825
112	104	820
113	105	816
114	105	812
115	106	808
116	107	809
117	107	804
118	108	802
119	108	799
120	109	798
121	110	793
122	110	788
123	111	785
124	111	782
125	112	779
126	112	775
127	113	772
128	114	772
129	115	771
130	116	769
131	116	766
132	117	765
133	118	762
134	118	760
135	119	757
136	119	754
137	120	750
138	122	756
139	122	753
140	123	751
141	123	747
142	124	745
143	124	742
144	125	739
145	125	736
146	126	734
147	126	731
148	127	727
149	127	724
150	128	721
151	129	723
152	130	721
153	131	719
154	131	717
155	132	716
156	133	714
157	133	712
158	134	710
159	134	708
160	135	705
161	135	703
162	136	700
163	137	698
164	137	696
165	138	694
166	139	694
167	139	692
168	140	691
169	141	688
170	141	688
171	142	687
172	143	686
173	144	683
174	144	682
175	145	681
176	146	679
177	146	677
178	147	675
179	148	676
180	150	679
181	151	678
182	151	677
183	152	676
184	153	674
185	153	671
186	153	668
187	154	667
188	155	665
189	155	663
190	156	660
191	156	658
192	156	655
193	157	654
194	158	653
195	158	651
196	159	649
197	159	647
198	160	646
199	161	644
200	161	642
201	162	640
202	162	639
203	163	637
204	165	643
205	166	642
206	167	640
207	168	639
208	168	637
209	169	635
210	169	634
211	170	633
212	170	631
213	171	630
214	172	628
215	172	626
216	173	625
217	174	626
218	175	626
219	176	625
220	177	625
221	178	626
222	179	625
223	180	624
224	180	622
225	181	621
226	182	620
227	182	618
228	183	617
229	183	615
230	184	614
231	187	620
232	187	618
233	188	616
234	188	614
235	189	613
236	190	611
237	190	610
238	191	609
239	192	608
240	192	606
241	193	605
242	193	604
243	194	602
244	195	601
245	195	600
246	196	598
247	197	598
248	197	596
249	198	595
250	199	594
251	199	592
252	200	590
253	200	588
254	200	586
255	201	584
256	201	583
257	202	581
258	202	579
259	203	578
260	203	577
261	204	576
262	205	574
263	205	572
264	206	572
265	209	579
266	210	577
267	211	576
268	211	575
269	212	573
270	212	571
271	213	570
272	213	568
273	214	567
274	214	565
275	214	563
276	215	562
277	215	560
278	216	558
279	216	556
280	216	555
281	217	553
282	217	551
283	217	549
284	218	548
285	219	547
286	219	546
287	220	546
288	221	544
289	221	542
290	222	541
291	222	539
292	223	538
293	223	536
294	223	535
295	224	533
296	224	532
297	225	531
298	225	529
299	226	528
300	227	527
301	227	526
302	228	525
303	228	524
304	229	523
305	230	522
306	230	520
307	231	519
308	231	518
309	232	517
310	232	516
311	233	514
312	234	513
313	234	512
314	235	511
315	235	510
316	236	509
317	236	508
318	237	507
319	238	505
320	238	504
321	239	503
322	239	502
323	240	501
324	240	500
325	241	499
326	242	498
327	242	496
328	243	495
329	243	494
330	243	492
331	244	491
332	244	490
333	245	488
334	245	487
335	245	486
336	246	484
337	247	483
338	247	483
339	248	481
340	248	480
341	248	479
342	249	477
343	249	476
344	250	475
345	250	473
346	250	472
347	251	470
348	251	469
349	252	468
350	252	467
351	253	465
352	253	464
353	253	463
354	254	462
355	254	460
356	255	459
357	255	458
358	256	457
359	256	455
360	256	454
361	257	453
362	257	452
363	258	451
364	258	450
365	259	448
366	259	447
367	260	446
368	260	445
369	261	444
370	261	443
371	262	442
372	262	441
373	263	440
374	263	439
375	264	438
376	264	437
377	265	436
378	265	435
379	265	433
380	266	432
381	266	431
382	267	431
383	268	429
384	268	429
385	269	428
386	270	427
387	270	426
388	271	425
389	271	424
390	272	424
391	273	423
392	274	424
393	277	426
394	278	425
395	278	424
396	279	423
397	280	423
398	280	423
399	281	421
400	281	420
401	282	419
402	282	418
403	283	418
404	284	417
405	284	416
406	285	415
407	285	414
408	286	413
409	286	412
410	286	411
411	287	410
412	287	408
413	288	408
414	288	406
415	289	405
416	289	404
417	289	403
418	290	402
419	290	401
420	291	400
421	291	399
422	292	398
423	292	397
424	293	396
425	293	395
426	294	394
427	294	393
428	294	392
429	295	391
430	295	390
431	296	389
432	296	388
433	297	387
434	297	386
435	297	385
436	298	384
437	298	383
438	299	382
439	299	381
440	299	380
441	300	379
442	300	378
443	301	377
444	301	376
445	302	375
446	302	374
447	303	373
448	304	373
449	304	372
450	305	371
451	305	370
452	306	369
453	306	368
454	307	368
455	307	367
456	308	366
457	309	365
458	309	365
